J,K,weight,alpha,alpha_t_stat_NW,beta_mkt,beta_smb,beta_hml,beta_rmw,beta_cma,r_squared,n_obs
3,3,EW,0.008034789,2.8038927416075725,-0.05354527,-0.163238078,-0.266170853,-0.266760713,0.5414862591858586,0.14806269004699957,128
3,3,VW,0.009133156,2.3057737704746057,-0.068795455,-0.264391343,-0.389257575,-0.258756856,0.35276117605667423,0.13575381483479343,128
3,6,EW,0.006258739,2.7635399419856856,-0.110852861,-0.264654821,-0.19014105,-0.148727852,0.3945641643770495,0.21640888434564742,128
3,6,VW,0.005751966,2.042836593794077,-0.083967971,-0.400039419,-0.360273909,-0.193113584,0.38193438341781505,0.21377836936582273,128
6,3,EW,0.007350086,2.3797180271232325,-0.152843173,-0.401032397,-0.263642596,-0.231979675,0.6374270528675432,0.23728654699943896,125
6,3,VW,0.009226866,2.1152339162579543,-0.146861065,-0.771163568,-0.419900503,-0.377940931,0.6483482681352142,0.2616118473665846,125
6,6,EW,0.005279501,1.8261300629350499,-0.175323982,-0.473658973,-0.224211657,-0.265316853,0.497546869,0.27686585499397864,125
6,6,VW,0.004910675,1.2034787249075696,-0.10582887,-0.77548933,-0.406732364,-0.342189272,0.6556908113507973,0.2838201726734527,125
